periode,kategori,total,qty
2024-01,KNOP KOMPOR,94800,9
2024-01,KOCOKAN,440262,33
2024-01,KOMPOR GAS,31229302,85
2024-01,KOTAK,9159708,462
2024-01,KOTAK GABUS,58500,1
2024-01,KUALI,9890632,107
2024-01,KUAS,505754,62
2024-01,KUKUSAN,3943408.4,36
2024-01,LAMPU,11148811.8,289
2024-01,LEMARI,15664166,39
2024-01,LIGHTER,164610,25
2024-01,LOYANG,1367056,41
2024-01,LUMPANG,1276490,18
2024-01,MANGKOK,10817910,1094
2024-01,MANTEL,1198725,28
2024-01,MEJA,8792507,46
2024-01,MERCON,2415832,625
2024-01,MIKA,231714,27
2024-01,MINUMAN,2427730,475
2024-01,MIXER,1243202,7
2024-01,MUG,4462577,210
2024-01,NAMPAN,3301608,131
2024-01,OBENG,142188,15
2024-01,OVEN,1955800,3
2024-01,PAN GORENG,6657405,52
2024-01,PANCI,14687028,143
2024-01,PANGGANGAN,1481470,43
2024-01,PAPERBAG,261990,27
2024-01,PARUTAN,712254,64
2024-01,PAYUNG,1478867,28
2024-01,PEELER,272373,28
2024-01,PEMBUKA KALENG/BOTOL,233024,9
2024-01,PEMISAH TELUR,1396,1
2024-01,PENTOL PANCI,45000,10
2024-01,PERASAN,803739,21
2024-01,PERLENGKAPAN ULTAH,2003182,764
2024-01,PEWANGI,1360771,73
2024-01,PINSET,84832,23
2024-01,PIPET,146843,23
2024-01,PIRING,19954216.75,2061
2024-01,PISAU,3329964,232
2024-01,POMPA,1534188,29
2024-01,POT,5036642,528
2024-01,PRASMANAN,5743600,11
2024-01,PRESTO,495300,1
2024-01,RAK,17014188,240
2024-01,RAKET NYAMUK,2021080,34
2024-01,RANTANG,4925389.8,111
2024-01,REGULATOR,7783589,84
2024-01,RICE COOKER,31971605,88
2024-01,RING A MOP,6038110,85
2024-01,SAKLAR,230678,20
2024-01,SAPU,17741381,481
2024-01,SARINGAN,5526571,296
2024-01,SARUNG TANGAN,265924,39
2024-01,SEALER,345600,2
2024-01,SEMPROTAN,362455,20
2024-01,SENDOK,12321776,919
2024-01,SENTER,1480835,25
2024-01,SEROKAN,2790550,147
2024-01,SETRIKA,5726480,37
2024-01,SHAKER,505400,6
2024-01,SIKAT,6431979,393
2024-01,SIKAT BAJU,223143,26
2024-01,SISIR,747720,122
2024-01,SKIMMER,40989,3
2024-01,SKINCARE,1519048,90
2024-01,SLASIBAN,1036946,106
2024-01,SODET / SENDOK GORENG,2738719,130
2024-01,SORONG AIR,1333397,40
2024-01,SPATULA,11489,1
2024-01,SPONS,711949,86
2024-01,STATIONARY / ALAT TULIS,11263636,1291
2024-01,STIK LAMPU,118221,1
2024-01,STOP KONTAK,1472014,80
2024-01,SUMPIT,381998,50
2024-01,TAKARAN,654051,52
2024-01,TALAM,545495,15
2024-01,TAMPA,393988,49
2024-01,TAPLAK,194585,10
2024-01,TAS BEKAL,484146,25
2024-01,TATAKAN GELAS,79119,9
2024-01,TEKO,5030882,103
2024-01,TELENAN,1742465,74
2024-01,TEMPAT BUMBU,1318258.7,41
2024-01,TEMPAT MINYAK,737509,13
2024-01,TEMPAT ROTI,96500,3
2024-01,TEMPAT SABUN,422903,25
2024-01,TEMPAT SAMBAL,615764,81
2024-01,TEMPAT SENDOK,1973843,94
2024-01,TEMPAT TELUR,161000,6
2024-01,TEMPAT TISSUE,690548,19
2024-01,TEMPAT TUSUK GIGI,164879,16
2024-01,TERMOS,14961069,153
2024-01,THINWAL,924588,30
2024-01,TIMBAH,2979985,334
2024-01,TIMBANGAN,3138911,29
2024-01,TISSUE,559878,63
2024-01,TONG,14673021,179
2024-01,TOPLES,11450828,560
2024-01,TUDUNG SAJI,1185155,54
2024-01,TUSUK GIGI,393993,92
2024-01,TUSUK SATE,28350,2
2024-01,TUTUP GELAS,266228,91
2024-01,TUTUP WAJAN,407635,11
2024-01,UMUM,29326383,1110
2024-01,WAJAN,1061814,13
2023-12,ACC / PITA / KARET,3675526,533
2023-12,AMPIA,1577500,8
2023-12,ASBAK,1291377,97
2023-12,AYAKAN,135166,10
2023-12,BABY BATHUB,450186,11
2023-12,BAKUL,933829,64
2023-12,BANGKU / KURSI,29105200,359
2023-12,BASKOM,15033387,1118
2023-12,BATRE,2614765,243
2023-12,BINGKAI,443969,10
2023-12,BLENDER,10371928,45
2023-12,BOTOL,11748608,676
2023-12,BUNGA PLASTIK,74997,3
2023-12,BURNER,1363080,39
2023-12,CAKE PAN,1256000,10
2023-12,CANGKIR,4001400,578
2023-12,CELEMEK,452725,15
2023-12,CELENGAN,513308,45
2023-12,CENTONG NASI,630870,55
2023-12,CERET,3985933,53
2023-12,CERMIN,1683546,62
2023-12,CETAKAN,4395018,269
2023-12,CHOPER,2309321,21
2023-12,CLING WRAP,190700,5
2023-12,COBEK,703850,15
2023-12,CONTAINER,16002897,133
2023-12,CORONG,249764,42
2023-12,CUP,283050,22
2023-12,DISPENCER,8636875,43
2023-12,EMBER,2085467,59
2023-12,ESKAN,1566722,60
2023-12,GALON,237000,5
2023-12,GANTUNGAN HOOK,962944,75
2023-12,GARPU,1380045,87
2023-12,GAS,1253000,59
2023-12,GAYUNG,2845378,304
2023-12,GELAS,16294697.1,1624
2023-12,GEMBOK,937315.4,49
2023-12,GILINGAN,107300,5
2023-12,GUNTING,1732583,185
2023-12,HAIR DRYER,317576,2
2023-12,HANGER,6155874,272
2023-12,JAM DINDING,2272208,43
2023-12,JEPITAN,1801856,124
2023-12,KAIN LAP,2467417,235
2023-12,KALO,3884443,603
2023-12,KAPSTOCK / GANTUNGAN BAJU,2824537,131
2023-12,KEMOCENG,794436,33
2023-12,KERANJANG,8569966,355
2023-12,KERTAS NASI,28750,1
2023-12,KESET,4845068,215
2023-12,KIPAS,20610455.2,132
2023-12,KNOP KOMPOR,94500,10
2023-12,KOCOKAN,534094,37
2023-12,KOMPOR GAS,25970608,80
2023-12,KOTAK,8851099,582
2023-12,KOTAK GABUS,90010,37
2023-12,KUALI,9933012,127
2023-12,KUAS,575013,86
2023-12,KUKUSAN,4072272,32
2023-12,LAMPU,11207631,309
2023-12,LEMARI,17496632.15,44
2023-12,LIGHTER,220950,39
2023-12,LOYANG,1699819,63
2023-12,LUMPANG,1922545,21
2023-12,MANGKOK,14061206.5,1483
2023-12,MANTEL,2357040,53
2023-12,MEJA,7237981,54
2023-12,MERCON,9984618,2959
2023-12,MIKA,691528,58
2023-12,MINUMAN,3288278,602
2023-12,MIXER,3039366,17
2023-12,MUG,10946262,754
2023-12,NAMPAN,2678060,133
2023-12,OBENG,122486,14
2023-12,OVEN,2312900,3
2023-12,PAN GORENG,8357373,61
2023-12,PANCI,17554161.5,183
2023-12,PANGGANGAN,2720899,102
2023-12,PAPERBAG,374730,44
2023-12,PARUTAN,1010264,80
2023-12,PAYUNG,3236608,62
2023-12,PEELER,155835,19
2023-12,PEMBUKA KALENG/BOTOL,108674,4
2023-12,PEMISAH TELUR,14688,5
2023-12,PENGGANJAL PINTU,29997,3
2023-12,PENTOL PANCI,58500,13
2023-12,PERASAN,295516,19
2023-12,PERLENGKAPAN ULTAH,3533673,1318
2023-12,PEWANGI,1078062,70
2023-12,PINSET,97399,25
2023-12,PIPET,181446,15
2023-12,PIRING,12386888.78,1679
2023-12,PISAU,3464896,192
2023-12,POMPA,1639297,32
2023-12,POT,6139076,615
2023-12,PRASMANAN,1625000,6
2023-12,PRESTO,1083250,2
2023-12,RAK,21269000,265
2023-12,RAKET NYAMUK,1362905,23
2023-12,RANTANG,6403740.5,137
2023-12,REGULATOR,7285017,76
2023-12,RICE COOKER,30175530.5,98
2023-12,RING A MOP,4596998,60
2023-12,SAKLAR,283906,29
2023-12,SAPU,18292864,502
2023-12,SARINGAN,5945966,312
2023-12,SARUNG TANGAN,406249,51
2023-12,SEMPROTAN,412925,21
2023-12,SENDOK,12879570,947
2023-12,SENTER,2839094,39
2023-12,SEROKAN,2359638,115
2023-12,SETRIKA,5428930,34
2023-12,SHAKER,355249,4
2023-12,SIKAT,6676081,423
2023-12,SIKAT BAJU,167359,24
2023-12,SISIR,707275,116
2023-12,SKIMMER,64394,5
2023-12,SKINCARE,2331043,107
2023-12,SLASIBAN,1021985.25,98
2023-12,SODET / SENDOK GORENG,1868037,83
2023-12,SORONG AIR,1330666,40
2023-12,SPATULA,48089,2
2023-12,SPONS,587228,73
2023-12,STATIONARY / ALAT TULIS,8259694,1298
